,0,1,2,3,4,5,6,7,8
601899,-0.05,-0.05,-0.06,-0.06,-0.05,-0.06,-0.06,-0.05,-0.05
600362,1.01,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0
000630,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88
601168,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
000878,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
