,601899,600362,000630,601168,000878
const,553.19182,169.35798,157.18987,376.89195,162.77819
L1.close_Future,0.91734,0.93009,0.94688,0.92451,0.95938
L1.close_Stock,207.77728,73.61033,255.73978,136.0494,15.05682
L2.close_Future,0.06809,0.06522,0.05539,0.0648,0.03798
L2.close_Stock,-167.32725,-65.95425,-349.63868,-108.65925,-13.1886
