	601899	600362	000630	601168	000878
Test Statistic	-1.98	-2.36	-3.48	-2.59	-2.67
p-value	0.29	0.15	0.01	0.09	0.08
#Lags Used	0.0	13.0	8.0	3.0	14.0
Number of Observations Used	1173.0	1160.0	1165.0	1170.0	1159.0
Critical Value (1%)	-3.44	-3.44	-3.44	-3.44	-3.44
Critical Value (5%)	-2.86	-2.86	-2.86	-2.86	-2.86
Critical Value (10%)	-2.57	-2.57	-2.57	-2.57	-2.57
r^2	0.85	0.58	0.75	0.77	0.1
r^2	0.85	0.58	0.75	0.77	0.1
